event_start,event_end,event_peak,event_peak_D_s-1,event_peak_D_1e5_s-1,duration_hours,year,month,season_year,detection_threshold_s-1,detection_threshold_1e5_s-1,slp_diff_hpa,zeta_box_mean_s-1,slp_climatology_mean_hpa,slp_climatology_std_hpa,monsoon_type,shinoda_class,episode_span_hours,threshold_hit_hours,merged_subevents_count,total_internal_gap_hours,max_internal_gap_hours
2002-11-26 16:00:00,2002-11-27 03:00:00,2002-11-26 22:00:00,-2.675566149878641e-05,-2.675566149878641,12,2002,11,2003,-1.8216529439979125e-05,-1.8216529439979128,24.960703124999892,9.487297188430822e-06,6.145678043365479,7.906016826629639,Type 1 strong-monsoon,Type 1A lower-vorticity,12,12,1,0.0,0.0
2002-12-09 15:00:00,2002-12-10 03:00:00,2002-12-09 20:00:00,-3.0244535885986123e-05,-3.0244535885986124,13,2002,12,2003,-2.5691567478831536e-05,-2.5691567478831536,12.926718750000076,-3.52569335030868e-06,10.767045021057127,9.112839698791504,Type 1 strong-monsoon,Type 1A lower-vorticity,13,13,1,0.0,0.0
2002-12-25 02:00:00,2002-12-25 09:00:00,2002-12-25 05:00:00,-3.0872787841152646e-05,-3.0872787841152647,8,2002,12,2003,-2.5691567478831536e-05,-2.5691567478831536,6.186171875000014,-2.076181497310996e-07,10.767045021057127,9.112839698791504,Type 2 weak-monsoon,Type 2 weak-monsoon,8,8,1,0.0,0.0
2002-12-31 22:00:00,2003-01-01 15:00:00,2003-01-01 11:00:00,-3.3350389631032534e-05,-3.335038963103253,18,2003,1,2003,-2.4251929268451687e-05,-2.4251929268451686,9.919843749999927,-1.5724304722313638e-06,11.12716293334961,8.703954696655273,Type 2 weak-monsoon,Type 2 weak-monsoon,18,7,2,12.0,12.0
2003-01-03 16:00:00,2003-01-05 02:00:00,2003-01-04 09:00:00,-3.241914048198508e-05,-3.2419140481985083,35,2003,1,2003,-2.4251929268451687e-05,-2.4251929268451686,24.300312500000015,1.161933321353597e-05,11.12716293334961,8.703954696655273,Type 1 strong-monsoon,Type 1A lower-vorticity,35,35,1,0.0,0.0
2003-01-28 04:00:00,2003-01-29 06:00:00,2003-01-29 03:00:00,-2.816865136754324e-05,-2.8168651367543243,27,2003,1,2003,-2.4251929268451687e-05,-2.4251929268451686,30.495546874999945,1.2060160777268956e-05,11.12716293334961,8.703954696655273,Type 1 strong-monsoon,Type 1A lower-vorticity,27,21,2,7.0,7.0
2003-02-04 07:00:00,2003-02-04 11:00:00,2003-02-04 09:00:00,-2.031818906003369e-05,-2.0318189060033687,5,2003,2,2003,-1.957567489476574e-05,-1.957567489476574,5.696328125000036,-1.5203531481744748e-06,8.544206619262695,8.269665718078613,Type 2 weak-monsoon,Type 2 weak-monsoon,5,5,1,0.0,0.0
2003-12-18 14:00:00,2003-12-19 18:00:00,2003-12-18 23:00:00,-3.910486078004416e-05,-3.910486078004416,29,2003,12,2004,-2.5691567478831536e-05,-2.5691567478831536,18.860624999999917,8.839738124235895e-06,10.767045021057127,9.112839698791504,Type 1 strong-monsoon,Type 1A lower-vorticity,29,29,1,0.0,0.0
2003-12-26 02:00:00,2003-12-26 11:00:00,2003-12-26 07:00:00,-2.9529093922622783e-05,-2.952909392262278,10,2003,12,2004,-2.5691567478831536e-05,-2.5691567478831536,21.639062500000023,-4.651899495138228e-06,10.767045021057127,9.112839698791504,Type 1 strong-monsoon,Type 1A lower-vorticity,10,10,1,0.0,0.0
2004-01-12 17:00:00,2004-01-13 03:00:00,2004-01-12 22:00:00,-3.843465924677513e-05,-3.843465924677513,11,2004,1,2004,-2.4251929268451687e-05,-2.4251929268451686,5.5359375000000455,2.1451688058144465e-05,11.12716293334961,8.703954696655273,Type 2 weak-monsoon,Type 2 weak-monsoon,11,11,1,0.0,0.0
2004-01-18 10:00:00,2004-01-18 19:00:00,2004-01-18 14:00:00,-3.55999170641665e-05,-3.5599917064166497,10,2004,1,2004,-2.4251929268451687e-05,-2.4251929268451686,-3.797343749999982,5.919109840367252e-06,11.12716293334961,8.703954696655273,Type 2 weak-monsoon,Type 2 weak-monsoon,10,10,1,0.0,0.0
2004-01-21 19:00:00,2004-01-22 01:00:00,2004-01-21 23:00:00,-2.65562389499065e-05,-2.65562389499065,7,2004,1,2004,-2.4251929268451687e-05,-2.4251929268451686,22.789218750000032,2.0033161005139684e-05,11.12716293334961,8.703954696655273,Type 1 strong-monsoon,Type 1B higher-vorticity,7,7,1,0.0,0.0
2004-01-23 22:00:00,2004-01-24 01:00:00,2004-01-23 23:00:00,-2.5161712150591985e-05,-2.5161712150591984,4,2004,1,2004,-2.4251929268451687e-05,-2.4251929268451686,15.675078125000027,7.576935110875455e-06,11.12716293334961,8.703954696655273,Type 1 strong-monsoon,Type 1A lower-vorticity,4,4,1,0.0,0.0
2004-02-02 16:00:00,2004-02-03 04:00:00,2004-02-02 21:00:00,-2.200829616163436e-05,-2.2008296161634355,13,2004,2,2004,-1.957567489476574e-05,-1.957567489476574,14.196249999999964,8.822425932202024e-06,8.544206619262695,8.269665718078613,Type 1 strong-monsoon,Type 1A lower-vorticity,13,13,1,0.0,0.0
2004-02-04 21:00:00,2004-02-06 07:00:00,2004-02-05 02:00:00,-3.4917833199787245e-05,-3.4917833199787247,35,2004,2,2004,-1.957567489476574e-05,-1.957567489476574,19.476093750000015,3.959231527748052e-06,8.544206619262695,8.269665718078613,Type 1 strong-monsoon,Type 1A lower-vorticity,35,25,2,11.0,11.0
2004-02-14 05:00:00,2004-02-14 14:00:00,2004-02-14 10:00:00,-2.6644132517740157e-05,-2.664413251774015,10,2004,2,2004,-1.957567489476574e-05,-1.957567489476574,5.287421875000064,2.5836893750437148e-05,8.544206619262695,8.269665718078613,Type 2 weak-monsoon,Type 2 weak-monsoon,10,10,1,0.0,0.0
2004-02-26 02:00:00,2004-02-26 06:00:00,2004-02-26 04:00:00,-2.0415970224982143e-05,-2.0415970224982147,5,2004,2,2004,-1.957567489476574e-05,-1.957567489476574,22.427187499999945,1.4274570883479562e-05,8.544206619262695,8.269665718078613,Type 1 strong-monsoon,Type 1A lower-vorticity,5,5,1,0.0,0.0
