event_start,event_end,event_peak,event_peak_D_s-1,event_peak_D_1e5_s-1,duration_hours,year,month,season_year,detection_threshold_s-1,detection_threshold_1e5_s-1,slp_diff_hpa,zeta_box_mean_s-1,slp_climatology_mean_hpa,slp_climatology_std_hpa,monsoon_type,shinoda_class,episode_span_hours,threshold_hit_hours,merged_subevents_count,total_internal_gap_hours,max_internal_gap_hours,peak_max_convergence_s-1,peak_max_convergence_1e5_s-1,peak_max_convergence_lat,peak_max_convergence_lon,peak_convergence_centroid_lat,peak_convergence_centroid_lon,candidate_peak_convergence_1e5_s-1,candidate_duration_weighted_convergence,candidate_positive_box_vorticity_1e5_s-1,candidate_peak_duration_vorticity_index,candidate_peak_convergence_percentile,convergence_intensity_auto,lat_position_group_auto,lon_position_group_auto,verified_event,cloud_band_present,position_group_manual,convergence_intensity_manual,manual_peak_convergence_lat,manual_peak_convergence_lon,satellite_checked,satellite_cloud_band_match,satellite_source,satellite_notes,upper_level_forcing_note,verification_notes
2013-02-01 15:00:00,2013-02-02 02:00:00,2013-02-01 20:00:00,-2.777996063415693e-05,-2.777996063415693,12,2013,2,2013,-1.957567489476574e-05,-1.957567489476574,3.605390625000041,1.7173663099906472e-05,8.544206619262695,8.269665718078613,Type 2 weak-monsoon,Type 2 weak-monsoon,12,12,1,0.0,0.0,0.0002208296905343,22.08296905343188,38.25,129.0,38.90945321747481,130.70676742998364,2.777996063415693,33.33595276098832,1.717366309990647,57.25004218316104,52.736318407960205,moderate-convergence,central,west-shifted,yes,,,,,,,,,,,convergence is strongest in coastal Korea and coastal Japan
2013-02-07 00:00:00,2013-02-07 10:00:00,2013-02-07 04:00:00,-2.625645563286184e-05,-2.6256455632861835,11,2013,2,2013,-1.957567489476574e-05,-1.957567489476574,13.931093749999944,2.487330133196063e-05,8.544206619262695,8.269665718078613,Type 1 strong-monsoon,Type 1B higher-vorticity,11,11,1,0.0,0.0,0.0001501147918724,15.011479187246143,40.5,129.5,38.55500881426239,131.93102575255344,2.6256455632861835,28.882101196148017,2.4873301331960627,71.83932061519701,41.29353233830846,moderate-convergence,north-shifted,west-shifted,yes,,,,,,,,,,,looks like forming in the wake of a passing system over the soj but unclear so far
2013-02-12 11:00:00,2013-02-12 13:00:00,2013-02-12 12:00:00,-2.155646887841185e-05,-2.1556468878411854,3,2013,2,2013,-1.957567489476574e-05,-1.957567489476574,0.7132812500001364,-5.236612178096023e-07,8.544206619262695,8.269665718078613,Type 2 weak-monsoon,Type 2 weak-monsoon,3,3,1,0.0,0.0,0.0002311295133725,23.11295133725743,39.0,132.75,38.1959971163018,132.74657739688047,2.1556468878411854,6.466940663523556,0.0,0.0,14.427860696517412,low-convergence,north-shifted,central,yes,,,,,,,,,,,
2013-11-09 20:00:00,2013-11-11 03:00:00,2013-11-10 01:00:00,-3.513099175685734e-05,-3.513099175685734,32,2013,11,2014,-1.8216529439979125e-05,-1.8216529439979128,12.15789062500005,1.6465692129793442e-05,6.145678043365479,7.906016826629639,Type 1 strong-monsoon,Type 1B higher-vorticity,32,27,2,6.0,6.0,0.000268900848536,26.890084853603845,36.0,134.5,38.005383147192255,131.5496141073883,3.513099175685734,112.41917362194349,1.6465692129793443,185.1059502344717,82.58706467661692,high-convergence,south-shifted,east-shifted,yes,,,,,,,,,,,convergence is huge all along coastal Japan and in the pacific. the polygon doesn't really capture the event
2013-11-18 15:00:00,2013-11-19 01:00:00,2013-11-18 21:00:00,-2.1908400115421915e-05,-2.190840011542192,11,2013,11,2014,-1.8216529439979125e-05,-1.8216529439979128,10.282812500000093,2.472554790420432e-05,6.145678043365479,7.906016826629639,Type 1 strong-monsoon,Type 1B higher-vorticity,11,11,1,0.0,0.0,0.0001709452600571,17.09452600571579,36.25,134.0,37.59281287329107,132.58767743300953,2.190840011542192,24.09924012696412,2.472554790420432,59.58669162141742,17.91044776119403,low-convergence,south-shifted,east-shifted,yes,,,,,,,,,,,
2013-11-24 21:00:00,2013-11-25 07:00:00,2013-11-25 02:00:00,-2.6732889323677448e-05,-2.6732889323677447,11,2013,11,2014,-1.8216529439979125e-05,-1.8216529439979128,-17.823437499999955,2.0014332446140032e-05,6.145678043365479,7.906016826629639,Type 2 weak-monsoon,Type 2 weak-monsoon,11,11,1,0.0,0.0,0.0002455537484425,24.55537484425152,37.75,129.5,37.40864135818971,133.074078284687,2.6732889323677447,29.40617825604519,2.001433244614004,58.85450275869428,45.27363184079602,moderate-convergence,south-shifted,west-shifted,uncertain,,,,,,,,,,,looks like a passing system in the soj need to see what happens before and after
2013-11-27 09:00:00,2013-11-27 18:00:00,2013-11-27 14:00:00,-2.54042352695703e-05,-2.54042352695703,10,2013,11,2014,-1.8216529439979125e-05,-1.8216529439979128,7.614062499999932,5.747511088143468e-06,6.145678043365479,7.906016826629639,Type 1 strong-monsoon,Type 1A lower-vorticity,10,10,1,0.0,0.0,0.0002166639776122,21.666397761229348,38.25,134.25,38.57009226640923,132.16849346965265,2.54042352695703,25.4042352695703,0.5747511088143468,14.601112389766064,33.33333333333333,low-convergence,central,east-shifted,yes,,,,,,,,,,,
2013-12-09 15:00:00,2013-12-09 19:00:00,2013-12-09 17:00:00,-3.010422054757753e-05,-3.010422054757753,5,2013,12,2014,-2.5691567478831536e-05,-2.5691567478831536,-2.2515624999999773,1.68766679566361e-05,10.767045021057127,9.112839698791504,Type 2 weak-monsoon,Type 2 weak-monsoon,5,5,1,0.0,0.0,0.0001807426888972,18.0742688897214,37.25,133.75,37.50802323993506,133.27024777077864,3.010422054757753,15.052110273788768,1.68766679566361,25.40294671374039,64.6766169154229,moderate-convergence,south-shifted,east-shifted,yes,,,,,,,,,,,interesting flow pattern
2013-12-11 02:00:00,2013-12-11 17:00:00,2013-12-11 08:00:00,-3.87762130930333e-05,-3.87762130930333,16,2013,12,2014,-2.5691567478831536e-05,-2.5691567478831536,14.901406249999924,1.284634327817132e-05,10.767045021057127,9.112839698791504,Type 1 strong-monsoon,Type 1A lower-vorticity,16,16,1,0.0,0.0,0.0001354818464027,13.548184640276814,39.0,132.75,38.15092120241062,132.0084445684219,3.87762130930333,62.04194094885328,1.2846343278171322,79.70120710730033,92.53731343283582,high-convergence,north-shifted,central,yes,,,,,,,,,,,
2013-12-12 18:00:00,2013-12-13 00:00:00,2013-12-12 21:00:00,-3.1665658456409415e-05,-3.1665658456409416,7,2013,12,2014,-2.5691567478831536e-05,-2.5691567478831536,9.94328125000004,7.498101262475038e-06,10.767045021057127,9.112839698791504,Type 2 weak-monsoon,Type 2 weak-monsoon,7,7,1,0.0,0.0,0.0001981171668244,19.81171668244384,36.25,134.75,38.04230058093715,132.38658059488904,3.1665658456409416,22.16596091948659,0.7498101262475038,16.620261955437474,72.636815920398,high-convergence,south-shifted,east-shifted,yes,,,,,,,,,,,con out of polygon and concentrated over coastal Japan
2014-01-18 03:00:00,2014-01-18 10:00:00,2014-01-18 07:00:00,-2.8717272564004383e-05,-2.871727256400438,8,2014,1,2014,-2.4251929268451687e-05,-2.4251929268451686,8.879296875000023,5.5996016609216746e-06,11.12716293334961,8.703954696655273,Type 2 weak-monsoon,Type 2 weak-monsoon,8,8,1,0.0,0.0,0.0001361639863592,13.616398635928068,37.0,134.0,37.70283020520954,132.7628419924952,2.871727256400438,22.973818051203505,0.5599601660921675,12.86442297172315,56.21890547263681,moderate-convergence,south-shifted,east-shifted,yes,,,,,,,,,,,
2014-11-30 13:00:00,2014-11-30 16:00:00,2014-11-30 15:00:00,-1.9691428828516376e-05,-1.9691428828516373,4,2014,11,2015,-1.8216529439979125e-05,-1.8216529439979128,-5.906171875000041,4.658048406080887e-06,6.145678043365479,7.906016826629639,Type 2 weak-monsoon,Type 2 weak-monsoon,4,4,1,0.0,0.0,0.0002312123595585,23.121235955858506,40.0,130.25,38.726411652070986,131.81190426205137,1.9691428828516373,7.876571531406549,0.4658048406080887,3.668945146725037,3.9800995024875614,low-convergence,north-shifted,central,yes,,,,,,,,,,,
